category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
attractions,Broadfields Pond,park,,,,,53.6641266,-2.6425371,,,,,,930964840,way,2026-03-06T09:52:37.365262
attractions,Astley Park,attraction,,,,,53.6589632,-2.6441832,,https://historicengland.org.uk/listing/the-list/list-entry/1000943,,,,956239430,way,2026-03-06T09:52:37.365266
attractions,Rivington Gardens,attraction,,,,,53.6209675,-2.5484022,,https://historicengland.org.uk/listing/the-list/list-entry/1000950,,,,956271286,way,2026-03-06T09:52:37.365268
attractions,Lever Park,attraction,,,,,53.6173038,-2.5569094,,https://historicengland.org.uk/listing/the-list/list-entry/1000948,,,,956272757,way,2026-03-06T09:52:37.365271
attractions,Worden Park,attraction,,,,,53.6830987,-2.7003267,,https://historicengland.org.uk/listing/the-list/list-entry/1000955,,,,956287432,way,2026-03-06T09:52:37.365273
attractions,Yarrow Valley Country Park,park,,,,,53.6311863,-2.6353082,,,,,,970676318,way,2026-03-06T09:52:37.365275
attractions,Yarrow Valley Country Park,park,,,,,53.631742,-2.653776,,,,,,970676319,way,2026-03-06T09:52:37.365277
attractions,Yarrow Valley Country Park,park,,,,,53.6467837,-2.6567099,,,,,,970676320,way,2026-03-06T09:52:37.365279
attractions,Barley Picnic Area,park,,,,,53.8588424,-2.2712155,,,,,,977038070,way,2026-03-06T09:52:37.365282
attractions,Croston Village Green,park,,,,,53.6611441,-2.7743898,,,,,,994015312,way,2026-03-06T09:52:37.365286
attractions,Hellicliffs MTB Park,park,,,,,53.8203528,-2.3981687,,,sunrise-sunset,,,1006198719,way,2026-03-06T09:52:37.365288
attractions,Ball Grove Park,park,,,,,53.8587751,-2.1392526,,,,,,1007790285,way,2026-03-06T09:52:37.365289
attractions,Settle Station Signal Box,museum,,,,,54.0664195,-2.2810049,,https://www.foscl.org.uk/content/settle-station-signal-box,,,,1047840787,way,2026-03-06T09:52:37.365292
attractions,Queen Elizabeth II Jubilee Biological Heritage Site,nature_reserve,,,,,53.7234974,-2.542629,,,,,,1053770283,way,2026-03-06T09:52:37.365294
attractions,Hermitage Field,park,,,,,54.0779592,-2.7338249,,https://hermitagefieldcommunitymeadow.com/,,,,1055116230,way,2026-03-06T09:52:37.365297
attractions,Memorial Park,park,,"115, Newhey Road, OL16 4JF",OL16 4JF,,53.6036698,-2.1018293,,,,,,1126664451,way,2026-03-06T09:52:37.365303
attractions,Lancaster Maritime Museum,museum,,"St George's Quay, Lancaster, LA1 1RB",LA1 1RB,Lancaster,54.0537377,-2.8056539,+44 1524 382264,https://www.lancaster.gov.uk/sport-and-leisure/museums/maritime-museum,Fr-Mo 12:00-16:00,,,1145359079,way,2026-03-06T09:52:37.365307
attractions,Summerseat Nature Reserve,nature_reserve,,"Railway Street, Bury, BL9 5QD",BL9 5QD,Bury,53.629376,-2.3159737,,https://www.lancswt.org.uk/nature-reserves/summerseat-nature-reserve,,,,1147209590,way,2026-03-06T09:52:37.365310
attractions,West Lancashire Light Railway,attraction,,,,,53.700391,-2.8381603,,,,,,1178588916,way,2026-03-06T09:52:37.365314
attractions,Earby Waterfalls Park,park,,,,,53.9187647,-2.1270065,,,24/7,,,1193288940,way,2026-03-06T09:52:37.365319
attractions,Griffin Park,park,,,,,53.7400119,-2.5039032,,,,,,1212807833,way,2026-03-06T09:52:37.365322
attractions,Greaves Forage Garden,park,,,,,54.0361862,-2.7975832,,http://www.lancastergreenspaces.org.uk/projects-weve-funded/greaves-forage-gardens#comments,,,,1222347464,way,2026-03-06T09:52:37.365324
attractions,Euxton Parish Church Gate,monument,,,,,53.665547,-2.6749516,,,,,,1222923758,way,2026-03-06T09:52:37.365326
attractions,Wild Share with Mearbeck,nature_reserve,,,,,54.0430066,-2.243154,,https://www.ydmt.org/wildshare-wood,24/7,,,1223822026,way,2026-03-06T09:52:37.365328
attractions,Mere Sands Wood Nature Reserve,nature_reserve,,,,,53.6356222,-2.8372227,,,24/7,,,1232226671,way,2026-03-06T09:52:37.365331
attractions,Millennium Garden,park,,,,,54.0685154,-2.2806019,,,,,,1239652210,way,2026-03-06T09:52:37.365332
attractions,Cedar Farm,attraction,,,,,53.6203402,-2.7665634,,https://www.cedarfarm.net/,,,,1257158959,way,2026-03-06T09:52:37.365335
attractions,The Rec,park,,,,,53.9739306,-2.7385149,,,,,,1273940082,way,2026-03-06T09:52:37.365340
attractions,King Georges Playing Fields,park,,,,,53.8084709,-2.7212506,,,,,,1282115440,way,2026-03-06T09:52:37.365342
